,日期,黄金收益率%
0,2003/1/31,5.9551208285385515
1,2003/2/28,-4.914471898
2,2003/3/31,-4.083380925
3,2003/4/30,0.9526644834772391
4,2003/5/31,7.490415806546724
5,2003/6/30,-5.075445816
6,2003/7/31,2.3121387283236983
7,2003/8/31,6.129943502824853
8,2003/9/30,2.5818472185254127
9,2003/10/31,-0.233523612
10,2003/11/30,3.1989596879063775
11,2003/12/31,4.763104838709675
12,2004/1/31,-3.24753428
13,2004/2/29,-1.442068623
14,2004/3/31,7.795156407669035
15,2004/4/30,-9.431312895
16,2004/5/31,1.8087855297157729
17,2004/6/30,-0.355329949
18,2004/7/31,-0.40753948
19,2004/8/31,4.9616368286445
20,2004/9/30,2.0224171539961144
21,2004/10/31,2.3405779794602344
22,2004/11/30,5.320886814469072
23,2004/12/31,-3.057832927
24,2005/1/31,-3.588571429
25,2005/2/28,3.4850640113798015
26,2005/3/31,-1.786941581
27,2005/4/30,1.469559132260323
28,2005/5/31,-4.298850575
29,2005/6/30,4.708143165986067
30,2005/7/31,-1.376462491
31,2005/8/31,0.9071877180739873
32,2005/9/30,8.114338404794829
33,2005/10/31,-0.831556503
34,2005/11/30,6.34272199526984
35,2005/12/31,4.54913061059441
36,2006/1/31,10.38483852252947
37,2006/2/28,-1.61177295
38,2006/3/31,3.5968660968660915
39,2006/4/30,12.031625988312133
40,2006/5/31,-1.426818042
41,2006/6/30,-4.513618677
42,2006/7/31,3.37408312958436
43,2006/8/31,-1.308735415
44,2006/9/30,-4.361719124
45,2006/10/31,0.9188105579685857
46,2006/11/30,7.0849197152789145
47,2006/12/31,-1.808625754
48,2007/1/31,2.644836272040285
49,2007/2/28,2.6687116564417135
50,2007/3/31,-0.956080072
51,2007/4/30,2.639517345399689
52,2007/5/31,-2.865540044
53,2007/6/30,-1.951588502
54,2007/7/31,2.9007869155994292
55,2007/8/31,0.9146798620482954
56,2007/9/30,10.371471025260014
57,2007/10/31,6.623586429725381
58,2007/11/30,-1.237373737
59,2007/12/31,6.737407312707733
60,2008/1/31,10.516229488561525
61,2008/2/29,5.353852823236149
62,2008/3/31,-5.750437198
63,2008/4/30,-5.828421742
64,2008/5/31,2.839592025961979
65,2008/6/30,4.38408655471656
66,2008/7/31,-1.32800691
67,2008/8/31,-9.25703031
68,2008/9/30,5.414204750994833
69,2008/10/31,-18.00503317
70,2008/11/30,13.867187500000021
71,2008/12/31,9.06640529282039
72,2009/1/31,4.167602785890812
73,2009/2/28,1.6391674754664187
74,2009/3/31,-2.111405836
75,2009/4/30,-3.230002168
76,2009/5/31,9.800627240143367
77,2009/6/30,-5.396307253
78,2009/7/31,2.83588527064913
79,2009/8/31,-0.209709552
80,2009/9/30,5.915729746768927
81,2009/10/31,3.214285714285725
82,2009/11/30,13.235294117647033
83,2009/12/31,-6.816059757
84,2010/1/31,-1.457460375
85,2010/2/28,3.3832501386578118
86,2010/3/31,-0.581187411
87,2010/4/30,6.187606799172585
88,2010/5/31,2.667908867620894
89,2010/6/30,2.3758455700379377
90,2010/7/31,-4.826752619
91,2010/8/31,5.604944543222423
92,2010/9/30,4.850477030385636
93,2010/10/31,3.976143141153088
94,2010/11/30,2.125312545962643
95,2010/12/31,2.397926117952043
96,2011/1/31,-6.068917018
97,2011/2/28,5.615033315864348
98,2011/3/31,1.4177358758063363
99,2011/4/30,9.247221639756752
100,2011/5/31,-2.028150992
101,2011/6/30,-1.900346111
102,2011/7/31,8.580748235920632
103,2011/8/31,12.102262276991006
104,2011/9/30,-11.38091332
105,2011/10/31,6.393483090594909
106,2011/11/30,1.24709976798143
107,2011/12/31,-10.57003724
108,2012/1/31,11.146700832799494
109,2012/2/29,-1.729106628
110,2012/3/31,-2.164222874
111,2012/4/30,-0.143876266
112,2012/5/31,-6.345680495
113,2012/6/30,2.7884615384615286
114,2012/7/31,0.4365450576863106
115,2012/8/31,4.9363551692021
116,2012/9/30,4.798816568047326
117,2012/10/31,-3.026367794
118,2012/11/30,-0.145560408
119,2012/12/31,-3.574344023
120,2013/1/31,0.6107516478200292
121,2013/2/28,-5.174900829
122,2013/3/31,1.1599163339037766
123,2013/4/30,-7.481203008
124,2013/5/31,-6.061221726
125,2013/6/30,-12.58741259
126,2013/7/31,9.212371134020625
127,2013/8/31,5.2560036248300745
128,2013/9/30,-4.692208351
129,2013/10/31,-0.338753388
130,2013/11/30,-5.461137548
131,2013/12/31,-4.234579738
132,2014/1/31,3.8044385115968637
133,2014/2/28,6.5905802925574575
134,2014/3/31,-3.227265872
135,2014/4/30,0.6934704690665372
136,2014/5/31,-3.234543063
137,2014/6/30,6.229508196721323
138,2014/7/31,-3.515507377
139,2014/8/31,0.31208551143013796
140,2014/9/30,-5.981177569
141,2014/10/31,-2.936796823
142,2014/11/30,-0.536947072
143,2014/12/31,1.439588688946003
144,2015/1/31,8.379793884102039
145,2015/2/28,-5.409197194
146,2015/3/31,-2.504943968
147,2015/4/30,-0.016903313
148,2015/5/31,0.6170752324598405
149,2015/6/30,-1.61303873
150,2015/7/31,-6.5067031
151,2015/8/31,3.5711023837793343
152,2015/9/30,-1.649029982
153,2015/10/31,2.376042320451899
154,2015/11/30,-6.778770363
155,2015/12/31,-0.497933108
156,2016/1/31,5.561325653857052
157,2016/2/29,11.001788908765665
158,2016/3/31,-0.612409347
