,日期,铜收益率%
0,2003-01-31,11.442307692307697
1,2003-02-28,-1.6393442622950838
2,2003-03-31,-6.988304093567255
3,2003-04-30,0.9745363093366821
4,2003-05-31,6.600249066002495
5,2003-06-30,-3.3294392523364524
6,2003-07-31,7.915407854984902
7,2003-08-31,-1.1198208286674172
8,2003-09-30,1.8120045300113352
9,2003-10-31,14.961067853170196
10,2003-11-30,0.14513788098693414
11,2003-12-31,11.159420289855081
12,2004-01-31,8.60495436766624
13,2004-02-29,18.047218887555026
14,2004-03-31,1.3559322033898313
15,2004-04-30,-11.237458193979933
16,2004-05-31,5.689525244913329
17,2004-06-30,-5.561497326203213
18,2004-07-31,6.757266893167224
19,2004-08-31,-0.990099009900991
20,2004-09-30,6.964285714285712
21,2004-10-31,-3.4724540901502454
22,2004-11-30,7.575233483223798
23,2004-12-31,1.7684887459807008
24,2005-01-31,-2.6856240126382325
25,2005-02-28,5.162337662337668
26,2005-03-31,1.5128125964803951
27,2005-04-30,-2.1897810218978075
28,2005-05-31,-4.944029850746268
29,2005-06-30,7.621851488387299
30,2005-07-31,7.446808510638303
31,2005-08-31,1.66902404526168
32,2005-09-30,4.952698942682243
33,2005-10-31,3.1548250265111433
34,2005-11-30,9.432022616294011
35,2005-12-31,3.45232503522781
36,2006-01-31,9.875141884222472
37,2006-02-28,-1.0123966942148788
38,2006-03-31,12.606971404717182
39,2006-04-30,31.232622798887853
40,2006-05-31,11.652542372881358
41,2006-06-30,-7.020872865275141
42,2006-07-31,5.850340136054433
43,2006-08-31,-2.0565552699228773
44,2006-09-30,-0.3937007874015741
45,2006-10-31,-2.885375494071152
46,2006-11-30,-3.9479039479039524
47,2006-12-31,-11.440677966101697
48,2007-01-31,-8.61244019138756
49,2007-02-28,5.898778359511336
50,2007-03-31,13.299274884640733
51,2007-04-30,13.381818181818183
52,2007-05-31,-4.297626683771649
53,2007-06-30,1.5817694369973267
54,2007-07-31,5.502771179730792
55,2007-08-31,-6.191369606003749
56,2007-09-30,7.0666666666666655
57,2007-10-31,-3.486924034869243
58,2007-11-30,-9.303225806451609
59,2007-12-31,-4.751742779911794
60,2008-01-31,9.410007468259884
61,2008-02-29,14.812286689419786
62,2008-03-31,-0.178359096313907
63,2008-04-30,2.203692674210833
64,2008-05-31,-7.400932400932403
65,2008-06-30,7.740717432347388
66,2008-07-31,-5.712616822429906
67,2008-08-31,-6.9508115475158005
68,2008-09-30,-15.046604527296935
69,2008-10-31,-34.87460815047022
70,2008-11-30,-11.913357400722024
71,2008-12-31,-15.573770491803273
72,2009-01-31,3.941747572815535
73,2009-02-28,6.575751914814121
